,0,1
4,Date de première version,1995[1]
5,Paradigmes,"Impératif, orienté objet, fonctionnel, procédural, réflexif et interprété"
6,Auteur,Rasmus Lerdorf
7,Développeurs,The PHP Group
8,Dernière version,8.2.8 (6 juillet 2023)[2]
9,Version en développement,7.4.0 alpha 1 (13 juin 2019)[3] 7.4.0 beta 1 (25 juillet 2019)[4] 7.4.0 RC1 (6 septembre 2019)[5] 7.4.0 alpha 2 (26 juin 2019)[6] 7.4.0 alpha 3 (11 juillet 2019)[7] 7.4.0 beta 2 (8 août 2019)[8] 7.4.0 beta 4 (22 août 2019)[9] 7.4.0 RC2 (19 septembre 2019)[10] 7.4.0 RC3 (3 octobre 2019)[11] 7.4.0 RC4 (18 octobre 2019)[12] 7.4.0 RC5 (31 octobre 2019)[13] 7.4.0 RC6 (14 novembre 2019)[14] 8.0.0 RC3 (29 octobre 2020)[15] 8.1.0 Alpha 2 (24 juin 2021)[16] 8.1.0 Alpha 3 (8 juillet 2021)[17] 8.1.0 Beta 1 (22 juillet 2021)[18] 8.1.0 Beta 2 (5 août 2021)[19] 8.1.0 Beta 3 (19 août 2021)[20] 8.1.0 RC 1 (2 septembre 2021)[21] 8.1.0 RC 2 (16 septembre 2021)[22] 8.1.0 RC 3 (30 septembre 2021)[23] 8.1.0 RC 4 (14 octobre 2021)[24] 8.1.0 RC5 (28 octobre 2021)[25] 8.2.0 Alpha 1 (9 juin 2022)[26] 8.2.0 Alpha 2 (23 juin 2022)[27] 8.2.0 Alpha 3 (7 juillet 2022)[28] 8.2.0 Beta 1 (21 juillet 2022)[29] 8.2.0 Beta 2 (4 août 2022)[30] 8.2.0 Beta 3 (18 août 2022)[31] 8.2.0 RC1 (1er septembre 2022)[32] 8.2.0 RC2 (15 septembre 2022)[33] 8.2.0 RC3 (29 septembre 2022)[34] 8.2.0 RC4 (13 octobre 2022)[35] 8.2.0 RC5 (27 octobre 2022)[36] 8.2.0 RC6 (10 novembre 2022)[37] 8.2.0 RC7 (24 novembre 2022)[38] 8.3.0 Alpha 1 (8 juin 2023)[39] 8.3.0 Alpha 2 (22 juin 2023)[40] 8.3.0 Alpha 3 (6 juillet 2023)[41]
10,Typage,"Dynamique, Faible"
11,Influencé par,C/C++ Java Perl[42]
12,Écrit en,C
13,Système d'exploitation,Multi-plateforme
14,Licence,Licence libre : Licence PHP[43]
15,Site web,https://secure.php.net
16,Extension de fichier,php
