,0,1
3,Date de première version,1974
4,Paradigme,"déclaratif, procédural, orienté objet"
5,Auteur,Donald D. Chamberlin et Raymond F. Boyce
6,Développeur,IBM
7,Dernière version,SQL:2016 (2016)
8,Typage,statique et fort
9,Dialectes,"SQL-86, SQL-89, SQL-92, SQL:1999, SQL:2003, SQL:2008, SQL:2011, SQL:2016"
10,Influencé par,Datalog Logique du premier ordre
11,A influencé,"CQL, LINQ, Windows PowerShell"
12,Implémentations,nombreuses
13,Système d'exploitation,Multiplate-forme
14,Site web,www.iso.org/standard/76583.html
15,Extension de fichier,sql
